[17:27:34] b'Temperature: 29.8c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:35] b'Temperature: 29.8c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:36] b'Temperature: 29.8c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:36] b'Temperature: 29.1c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:37] b'Temperature: 29.3c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:38] b'Temperature: 29.3c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:39] b'Temperature: 29.3c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:40] b'Temperature: 29.7c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:41] b'Temperature: 29.7c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:42] b'Temperature: 29.7c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:43] b'Temperature: 29.2c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:43] b'Temperature: 29.4c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:44] b'Temperature: 29.4c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:45] b'Temperature: 29.4c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:46] b'Temperature: 29.6c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:47] b'Temperature: 29.6c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:48] b'Temperature: 29.6c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:49] b'Temperature: 29.8c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:50] b'Temperature: 29.8c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:50] b'Temperature: 29.8c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:51] b'Temperature: 29.8c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:52] b'Temperature: 29.1c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:53] b'Temperature: 29.1c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:54] b'Temperature: 29.1c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:55] b'Temperature: 29.3c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:56] b'Temperature: 29.3c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:57] b'Temperature: 29.3c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:57] b'Temperature: 29.3c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:58] b'Temperature: 29.7c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:27:59] b'Temperature: 29.7c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:00] b'Temperature: 29.7c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:01] b'Temperature: 29.2c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:02] b'Temperature: 29.2c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:03] b'Temperature: 29.2c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:04] b'Temperature: 29.4c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:04] b'Temperature: 29.6c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:05] b'Temperature: 29.6c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:06] b'Temperature: 29.6c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:07] b'Temperature: 29.8c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:08] b'Temperature: 29.8c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:09] b'Temperature: 29.8c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:10] b'Temperature: 29.1c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:11] b'Temperature: 29.1c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:11] b'Temperature: 29.1c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:12] b'Temperature: 29.1c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:13] b'Temperature: 29.3c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:14] b'Temperature: 29.3c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:15] b'Temperature: 29.3c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:16] b'Temperature: 29.7c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:17] b'Temperature: 29.7c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:18] b'Temperature: 29.7c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:18] b'Temperature: 29.7c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:19] b'Temperature: 29.2c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:20] b'Temperature: 29.2c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:21] b'Temperature: 29.2c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:22] b'Temperature: 29.4c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:23] b'Temperature: 29.4c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:24] b'Temperature: 29.4c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:25] b'Temperature: 29.6c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:25] b'Temperature: 29.8c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:26] b'Temperature: 29.8c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:27] b'Temperature: 29.8c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:28] b'Temperature: 29.1c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:29] b'Temperature: 29.1c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:30] b'Temperature: 29.1c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:31] b'Temperature: 29.3c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:32] b'Temperature: 29.3c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:32] b'Temperature: 29.3c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:33] b'Temperature: 29.3c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:34] b'Temperature: 29.7c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:35] b'Temperature: 29.7c | Humidity: 10.6% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:36] b'Temperature: 29.7c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:37] b'Temperature: 29.2c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:38] b'Temperature: 29.2c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:39] b'Temperature: 29.2c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:39] b'Temperature: 29.2c | Humidity: 10.4% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:40] b'Temperature: 29.4c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:41] b'Temperature: 29.4c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:42] b'Temperature: 29.4c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:43] b'Temperature: 29.6c | Humidity: 10.8% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:44] b'Temperature: 29.6c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:45] b'Temperature: 29.6c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:46] b'Temperature: 29.8c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:46] b'Temperature: 29.1c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:47] b'Temperature: 29.1c | Humidity: 10.5% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:48] b'Temperature: 29.1c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:49] b'Temperature: 29.3c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:50] b'Temperature: 29.3c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:51] b'Temperature: 29.3c | Humidity: 10.9% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:52] b'Temperature: 29.7c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:53] b'Temperature: 29.7c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:53] b'Temperature: 29.7c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
[17:28:54] b'Temperature: 29.7c | Humidity: 10.1% | Status: \xe6\xb8\xa9\xe5\xba\xa6\xe5\x81\x8f\xe9\xab\x98 | OLED: Disconnected\r\n'
